;p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cluster;gene;;
1;0;1.5986442682605;0.715;0.231;0;0;LOC105278717;;
2;0;1.29285924073125;1;0.949;0;0;LOC105284583;;
3;0;1.02263909095736;0.992;0.866;0;0;LOC105287556;;
4;1.53950578316968e-259;1.01341695496943;0.807;0.468;1.89035915115405e-255;0;LOC105282464;;
5;8.07756153683937e-228;1.1778904899009;0.7;0.391;9.91843781108506e-224;0;LOC105286591;;
6;3.44308656773757e-14;3.22795011209762;0.257;0.191;4.22776599652496e-10;0;Or5-H6PSE;;
7;1.78442660471958e-09;1.35494114184464;0.28;0.221;2.19109742793518e-05;0;LOC105283195;;
8;9.30608937988826e-248;1.50200879145116;0.542;0.133;1.14269471495648e-243;1;LOC109611417;;
9;7.05267216153841e-237;1.71218745121725;0.874;0.473;8.65997614715302e-233;1;LOC109611385;;
10;1.70141380675732e-206;2.32951374828968;0.672;0.272;2.08916601331731e-202;1;LOC109610657;;
11;7.38223285836764e-142;2.06829703980387;0.934;0.793;9.06464372678963e-138;1;LOC105285750;;
12;4.63666975478542e-66;1.07658144451817;0.288;0.105;5.69336679190102e-62;1;Or5-9E265PSE;;
13;1.97506833655791e-65;1.25936092443258;0.385;0.187;2.42518641045946e-61;1;Or5-9E333;;
14;8.8173395327582e-58;1.22645711666971;0.409;0.218;1.08268112122738e-53;1;Or5-9E334;;
15;1.18817611010126e-51;1.13936746893793;0.357;0.183;1.45896144559334e-47;1;Or5-9E336;;
16;1.99234632071499e-33;1.13085898800338;0.335;0.196;2.44640204720594e-29;1;Or5-9E338;;
17;6.36439251797484e-20;1.05972941490148;0.32;0.214;7.81483757282131e-16;1;Or5-9E340;;
18;0;3.34502344731322;0.924;0.062;0;10;Or5-9E177;;
19;0;3.10828764779014;0.913;0.043;0;10;Or5-9E182;;
20;0;2.96347950532096;0.563;0.036;0;10;Or5-9E170;;
21;0;2.8182455812572;0.485;0.03;0;10;Or5-9E169;;
22;0;2.81290723246807;0.526;0.03;0;10;Or5-9E171;;
23;0;2.52575218484346;0.547;0.027;0;10;Or5-9E172;;
24;0;2.48867561051731;0.575;0.024;0;10;Or5-9E173;;
25;0;2.44109146984037;0.853;0.038;0;10;Or5-9E181;;
26;0;2.33522795100274;0.772;0.022;0;10;Or5-9E180;;
27;0;2.07321166862878;0.641;0.016;0;10;Or5-9E174;;
28;0;1.74798315505086;0.687;0.012;0;10;Or5-9E183PSE;;
29;0;1.68062071534853;0.699;0.011;0;10;Or5-9E179;;
30;0;1.60462378783806;0.694;0.019;0;10;Or5-9E176;;
31;0;1.45931319805182;0.593;0.009;0;10;Or5-9E175;;
32;1.04239909020615e-269;2.68089670694782;1;0.998;1.27996184286413e-265;10;LOC105286974;;
33;1.64202242750867e-258;2.77473463704195;0.407;0.04;2.0162393387379e-254;10;Or5-9E168;;
34;3.49320168346275e-153;1.11878960447823;0.168;0.01;4.28930234712391e-149;10;Or5-9E166;;
35;1.80446405104763e-139;2.3610541018574;0.237;0.024;2.21570140828138e-135;10;Or5-9E167;;
36;2.14320166233281e-34;1.23847514155292;0.267;0.099;2.63163732117846e-30;10;LOC113562188;;
37;0;4.2337989019917;0.862;0.098;0;11;LOC113561461;;
38;0;2.91966657176454;0.456;0.018;0;11;Or5-9E44;;
39;0;2.47056420906736;0.623;0.014;0;11;Or5-9E42;;
40;0;2.41543269707456;0.913;0.042;0;11;LOC105280141;;
41;0;2.30410252131519;0.672;0.031;0;11;Or5-9E30;;
42;0;2.25299614915967;0.656;0.022;0;11;Or5-9E29;;
43;0;2.18545221003117;0.41;0.022;0;11;Or5-9E47;;
44;0;2.16396096325859;0.631;0.018;0;11;Or5-9E31;;
45;0;2.15296134994572;0.474;0.027;0;11;Or5-9E43;;
46;0;1.83492279865537;0.554;0.016;0;11;Or5-9E32;;
47;0;1.8233690339493;0.536;0.019;0;11;Or5-9E36;;
48;0;1.75993930672972;0.459;0.013;0;11;Or5-9E50;;
49;0;1.69659871002549;0.546;0.008;0;11;Or5-9E41;;
50;0;1.63059978077517;0.503;0.009;0;11;Or5-9E35;;
51;0;1.52208630816038;0.567;0.012;0;11;Or5-9E34;;
52;0;1.49761910909745;0.677;0.008;0;11;LOC109611015;;
53;0;1.44692434705249;0.531;0.008;0;11;Or5-9E38;;
54;0;1.41301743311135;0.444;0.008;0;11;Or5-9E33;;
55;0;1.40911231811421;0.351;0.015;0;11;Or5-9E46;;
56;0;1.40696686138956;0.538;0.011;0;11;LOC109611014;;
57;0;1.23323358645829;0.354;0.007;0;11;Or5-9E48;;
58;0;1.18891358666128;0.279;0.007;0;11;Or5-9E49;;
59;0;1.18189599649793;0.479;0.004;0;11;Or5-9E40PSE;;
60;0;1.16141417256681;0.351;0.007;0;11;Or5-9E45;;
61;5.49302361816259e-286;2.10112151495913;0.326;0.019;6.74488370074184e-282;11;Or5-9E51;;
62;2.32849077331451e-63;2.53127880702502;1;1;2.85915382055289e-59;12;LOC113561968;;
63;1.5711162075772e-62;2.29789160190912;1;0.984;1.92917359128405e-58;12;LOC105275422;;
64;1.36914716547955e-61;2.67180102399219;1;0.998;1.68117580449234e-57;12;LOC113562077;;
65;1.81403220672052e-59;2.369672078283;1;0.977;2.22745014663212e-55;12;LOC105287113;;
66;6.9256042270068e-59;2.64048893091582;1;0.988;8.50394943034165e-55;12;LOC105274810;;
67;5.24740488290737e-55;2.24061737804969;1;0.943;6.44328845572196e-51;12;LOC109611483;;
68;4.96667418532733e-51;1.67773112961669;0.828;0.275;6.09857923216343e-47;12;LOC105281851;;
69;2.77566383486675e-46;2.1295211926465;0.808;0.283;3.40823762283288e-42;12;LOC105285557;;
70;4.55394554149659e-44;1.36918657035336;0.919;0.504;5.59178973040367e-40;12;MT-DMN91-013091;;
71;2.37027894259014e-40;1.58015459173142;0.909;0.533;2.91046551360644e-36;12;LOC105282591;;
72;3.2578029038778e-40;1.322335192171;0.727;0.241;4.00025618567155e-36;12;LOC105287641;;
73;1.45788717201578e-38;1.90510746387317;0.646;0.197;1.79013965851818e-34;12;LOC105280250;;
74;1.68800026498723e-38;1.91998776091131;0.899;0.515;2.07269552537782e-34;12;LOC105282422;;
75;5.37895991883574e-38;1.70245913411684;0.778;0.29;6.60482488433841e-34;12;LOC105281730;;
76;7.58444095574709e-37;1.14903667220871;0.848;0.397;9.31293504956185e-33;12;MT-DMN91-013093;;
77;1.17413236971852e-36;1.12900170479135;0.677;0.21;1.44171713677738e-32;12;LOC105275627;;
78;5.66950249353433e-36;1.65016621495461;0.899;0.555;6.96158211181081e-32;12;LOC105282593;;
79;1.07611190323927e-34;1.348716285793;0.808;0.376;1.3213578059875e-30;12;LOC105276844;;
