;p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cluster;gene
1;5.85352570762326e-248;1.05374793933255;0.994;0.74;7.72840999177499e-244;0;CG42540
2;1.23183648158532e-220;1.21316444058956;0.87;0.505;1.6263937066371e-216;0;Orco
3;2.39300715239231e-201;1.07423903860486;0.911;0.569;3.15948734330356e-197;0;bi
4;2.43596255816904e-152;1.08144586481633;0.717;0.38;3.21620136555059e-148;0;Bx
5;6.50687364929858e-152;1.06987569543415;0.791;0.459;8.59102527916892e-148;0;lncRNA:CR32773
6;5.6358926839993e-151;1.2267407417826;0.55;0.244;7.44106911068428e-147;0;Aldh-III
7;1.80570739713533e-109;1.30427682108958;0.101;0.012;2.38407547643777e-105;0;Or67a
8;0;2.07958023139078;0.766;0.078;0;1;lncRNA:CR43314
9;0;2.04394424370682;0.718;0.12;0;1;CG4928
10;0;1.9447444432896;0.869;0.249;0;1;Tg
11;0;1.79395589139241;0.583;0.052;0;1;CG8312
12;0;1.68931257891992;0.493;0.045;0;1;CG33970
13;0;1.64782845032771;0.693;0.117;0;1;CG8195
14;0;1.5569941613756;0.761;0.238;0;1;lncRNA:flam
15;0;1.45396480147931;0.578;0.075;0;1;Ugt49C1
16;0;1.36954069025404;0.446;0.042;0;1;h
17;0;1.31822310094783;0.479;0.083;0;1;Lsd-2
18;0;1.30754377805906;0.446;0.041;0;1;cv-c
19;0;1.12848024664453;0.368;0.026;0;1;fus
20;0;1.10548312590318;0.358;0.037;0;1;lncRNA:CR40469
21;0;1.06429399640182;0.323;0.032;0;1;CG40006
22;0;1.02276779855458;0.369;0.036;0;1;RhoGAP18B
23;2.24445233897123e-272;1.49101379470055;0.858;0.426;2.96335042314371e-268;1;lovit
24;3.50623382224846e-269;1.15771074769204;1;0.865;4.62928051551464e-265;1;HnRNP-K
25;3.30636459193724e-265;1.17635206893205;0.516;0.12;4.36539317073474e-261;1;Gmap
26;3.11335580616886e-262;1.26032603604833;0.741;0.261;4.11056367088475e-258;1;CG9932
27;1.17374798499079e-228;1.33443380144485;0.969;0.554;1.54969946458335e-224;1;Sp1
28;4.19361866315209e-223;1.10715587578316;0.68;0.22;5.5368347209597e-219;1;GstE5
29;1.04251918844576e-215;1.20632705536169;0.672;0.251;1.37643808450494e-211;1;osp
30;2.70177252196233e-210;1.27620795328976;0.803;0.37;3.56715026074686e-206;1;CG11768
31;5.17085005651414e-207;1.01888730137651;0.474;0.117;6.82707332961562e-203;1;toe
32;2.51015696064311e-197;1.08462275765869;0.838;0.411;3.31416023513709e-193;1;Pka-C3
33;1.51514830992466e-194;1.09741231783353;0.477;0.132;2.00045031359353e-190;1;CG41520
34;5.44150814177371e-192;1.042631179439;0.538;0.161;7.18442319958384e-188;1;WDY
35;5.09447438152078e-175;1.12116014949469;0.817;0.415;6.72623452592189e-171;1;hzg
36;4.29838024378276e-172;1.01358214430033;0.918;0.564;5.67515143586638e-168;1;CG34417
37;8.84854153966575e-170;1.10529682387916;0.737;0.347;1.16827293948207e-165;1;mgl
38;3.50914483168849e-168;1.05417762986536;0.546;0.18;4.63312392127831e-164;1;cv-2
39;4.54676981652682e-161;1.0001041096739;0.416;0.113;6.00310018876035e-157;1;H15
40;5.04827627227916e-157;1.02147944806324;0.795;0.395;6.66523916229018e-153;1;Fum1
41;4.26934803761229e-150;1.06773597947638;0.701;0.308;5.6368202140595e-146;1;asRNA:CR44960
42;0;3.3455621631708;0.746;0.074;0;2;beat-Ib
43;0;3.12419394450411;0.895;0.107;0;2;CG3339
44;0;2.63148449039449;0.848;0.168;0;2;5-HT1A
45;0;2.2727199697472;0.718;0.167;0;2;hig
46;0;2.16840986654214;0.562;0.068;0;2;Ets65A
47;0;2.16527409869265;0.95;0.386;0;2;foi
48;0;2.06888650347817;0.934;0.25;0;2;CG10185
49;0;2.05316357492882;0.427;0.028;0;2;dpr15
50;0;2.00577765516508;0.991;0.541;0;2;Naprt
51;0;1.97434433278156;0.427;0.038;0;2;ham
52;0;1.96039553066285;0.887;0.245;0;2;CG9650
53;0;1.93944156903166;0.745;0.177;0;2;Scp1
54;0;1.93189896641155;0.915;0.316;0;2;Cngl
55;0;1.91680463901637;0.874;0.25;0;2;CG9492
56;0;1.58729980175621;0.737;0.164;0;2;Fife
57;0;1.53029251876717;0.997;0.869;0;2;jvl
58;4.49136598061565e-304;1.95331785398903;0.754;0.204;5.92995050420684e-300;2;Dl
59;4.33072875336058e-284;1.94342618249732;0.548;0.112;5.71786117306198e-280;2;Octbeta2R
60;9.28345058352227e-284;1.79135586808041;0.978;0.45;1.22569398054244e-279;2;l(2)41Ab
61;1.53898692178172e-277;1.65931120593034;0.996;0.749;2.03192443282841e-273;2;CG17684
62;2.69074255518973e-272;1.82318292666611;0.825;0.277;3.55258739561699e-268;2;dpr10
63;1.47264175500191e-258;1.25391407307106;0.204;0.013;1.94432890912902e-254;2;CG13455
64;2.06053837924697e-256;2.1725689545857;0.609;0.158;2.72052882211977e-252;2;side
65;1.12963061839711e-244;1.11426118913759;1;0.985;1.4914513054697e-240;2;Sh
66;1.43613503065608e-240;1.88549766973037;0.595;0.147;1.89612908097522e-236;2;CG46025
67;8.26021059647134e-240;2.02193420769849;0.902;0.594;1.09059560505211e-235;2;bru3
68;7.72653354705203e-237;1.71291606888945;0.894;0.478;1.02013422421728e-232;2;Nuak1
69;1.17791428120424e-236;1.65623283536092;0.958;0.503;1.55520022547396e-232;2;DIP-lambda
70;1.55589001638882e-227;1.59544188090206;0.508;0.11;2.05424158863816e-223;2;twit
71;8.159885692616e-220;1.50973251250395;0.288;0.036;1.07734970799609e-215;2;dpr16
