"p_val ""avg_log2FC"" ""pct.1"" ""pct.2"" ""p_val_adj"" ""cluster"" ""gene"""
"1 1.52927778695615e-245 1.30315706201926 0.66 0.077 1.99769557310082e-241 ""0"" ""LOC5576180"""
"2 5.05936182867067e-197 1.70831003509824 0.816 0.177 6.6090443567925e-193 ""0"" ""LOC5564764"""
"3 5.45603324753689e-118 1.03660046546657 0.698 0.238 7.12721623125743e-114 ""0"" ""LOC5564497"""
"4 2.26890310192554e-105 1.38777453622434 0.92 0.436 2.96386812204533e-101 ""0"" ""LOC5570169"""
"5 1.03580828071814e-96 1.41243943672521 0.842 0.351 1.3530763571021e-92 ""0"" ""LOC5575537"""
"6 1.02561777925174e-89 1.20585304495717 0.805 0.351 1.33976450503655e-85 ""0"" ""LOC5576845"""
"7 5.62220127556496e-86 1.24811963740805 0.722 0.294 7.34428152627051e-82 ""0"" ""LOC23687720"""
"8 4.71348987056242e-83 1.24977356090565 0.719 0.311 6.15723181791569e-79 ""0"" ""LOC5565895"""
"9 7.47627379985725e-79 1.20860362974514 0.845 0.431 9.76625646475352e-75 ""0"" ""LOC5576139"""
"10 3.51167352430229e-76 1.12413048439318 0.848 0.401 4.58729912479608e-72 ""0"" ""LOC5569395"""
"11 1.67561986036962e-74 1.20811988144568 0.695 0.275 2.18886222360083e-70 ""0"" ""LOC5570371"""
"12 4.84242156888081e-65 1.31704153333283 0.639 0.289 6.325655295429e-61 ""0"" ""LOC5566878"""
"13 1.67824964553055e-62 1.12685198634307 0.762 0.425 2.19229751195655e-58 ""0"" ""LOC5571143"""
"14 1.09693962995437e-55 1.14213765920033 0.925 0.611 1.43293223860939e-51 ""0"" ""LOC5576734"""
"15 1.5001797845177e-55 1.0814408970111 0.917 0.569 1.95968485251548e-51 ""0"" ""LOC5578034"""
"16 1.57978178429376e-46 1.32618098976768 0.473 0.2 2.06366894482293e-42 ""0"" ""LOC110676534"""
"17 3.10215592862591e-44 1.29631612988702 0.615 0.341 4.05234628956402e-40 ""0"" ""LOC5574548"""
"18 4.38798056708531e-43 1.12144045056922 0.508 0.236 5.73201901478354e-39 ""0"" ""LOC5574775"""
"19 1.32610896052479e-41 1.10443216024095 0.481 0.222 1.73229613513354e-37 ""0"" ""LOC5576867"""
"20 1.65495944035588e-28 1.01838346548459 0.559 0.365 2.16187351693688e-24 ""0"" ""LOC5573959"""
"21 5.88984126252628e-19 1.15170177693994 0.332 0.174 7.69389964123808e-15 ""0"" ""LOC5571620"""
"22 5.3650852565544e-172 1.71890501201335 0.583 0.09 7.00841087063702e-168 ""1"" ""LOC5577784"""
"23 6.78069260508655e-122 1.88990245927833 0.289 0.027 8.85761875002456e-118 ""1"" ""Or69"""
"24 4.86458792907687e-107 1.57871348830645 0.253 0.024 6.35461121175312e-103 ""1"" ""Or23"""
"25 2.94237456052257e-92 1.38788465296525 0.673 0.226 3.84362388841064e-88 ""1"" ""LOC5577806"""
"26 1.2171352081424e-88 1.42590287623382 0.937 0.586 1.58994372239642e-84 ""1"" ""LOC5579869"""
"27 5.06880921659191e-74 1.24689663338154 0.916 0.559 6.62138547963401e-70 ""1"" ""LOC5564970"""
"28 4.65839754644875e-62 1.1295028785245 0.501 0.161 6.085264714926e-58 ""1"" ""LOC5574904"""
"29 2.98985018556643e-60 1.3449760452868 0.24 0.041 3.90564129740543e-56 ""1"" ""LOC5574632"""
"30 9.95716328271531e-60 1.45681436318407 0.85 0.601 1.3007042396211e-55 ""1"" ""LOC5565429"""
"31 1.23632324990468e-55 1.01872040092928 0.913 0.703 1.61500906135049e-51 ""1"" ""LOC5575842"""
"32 4.46660985153067e-55 1.13732821625468 0.45 0.147 5.83473244905451e-51 ""1"" ""LOC5566008"""
"33 3.58758748641977e-50 1.04235412271961 0.703 0.349 4.68646553351015e-46 ""1"" ""LOC5564419"""
"34 5.84236431422245e-46 1.07184591387493 0.302 0.082 7.63188050366878e-42 ""1"" ""LOC5567588"""
"35 7.23163764426935e-36 1.08892765338791 0.191 0.042 9.44668825470905e-32 ""1"" ""LOC110678898"""
"36 7.35457717282812e-35 1.69167873066373 0.193 0.046 9.60728416086537e-31 ""1"" ""Or16"""
"37 4.98777825159074e-29 1.07109529466648 0.267 0.091 6.51553473005299e-25 ""1"" ""LOC5567150"""
"38 1.55490488553217e-71 1.47304506611979 0.716 0.296 2.03117225197068e-67 ""2"" ""LOC23687412"""
"39 1.39304137336961e-60 1.04867264195181 0.417 0.11 1.81972994603273e-56 ""2"" ""LOC5573899"""
"40 1.59782764867239e-54 1.74366344228521 0.728 0.389 2.08724225746075e-50 ""2"" ""LOC110675282"""
"41 2.15971888395139e-54 1.38801783492165 0.841 0.558 2.8212407781057e-50 ""2"" ""LOC5576319"""
"42 1.5842073978746e-53 1.95718201935716 0.174 0.023 2.06945012384359e-49 ""2"" ""Or59"""
"43 9.56547635061625e-48 1.08727101970579 0.89 0.606 1.249538175681e-43 ""2"" ""LOC5575783"""
"44 1.79696320673102e-46 1.14684561563784 0.467 0.169 2.34737303695274e-42 ""2"" ""LOC5574677"""
"45 6.33927525151095e-46 1.14393023295232 0.667 0.324 8.28099526104876e-42 ""2"" ""LOC5575091"""
"46 9.28807934492201e-42 1.06173632761695 0.649 0.326 1.21330180482716e-37 ""2"" ""LOC5575090"""
"47 4.21650778851033e-41 1.02625202740159 0.53 0.228 5.50802412413105e-37 ""2"" ""LOC5575487"""
"48 2.21500453292313e-40 1.09323086124526 0.89 0.751 2.89346042135748e-36 ""2"" ""LOC5567324"""
"49 3.57318850937778e-40 1.09297648619464 0.606 0.28 4.6676561498002e-36 ""2"" ""LOC5576709"""
"50 7.31877895130228e-40 1.41209944768149 0.435 0.171 9.56052094408616e-36 ""2"" ""LOC5572422"""
"51 1.23308700101486e-36 2.15409982556574 0.159 0.029 1.61078154942571e-32 ""2"" ""Or38"""
"52 1.1337936645322e-35 1.00268859753426 0.528 0.232 1.48107466397841e-31 ""2"" ""LOC5574025"""
"53 1.00243329967931e-27 1.87940452101367 0.461 0.231 1.30947861937108e-23 ""2"" ""LOC5576566"""
"54 2.43464594811378e-25 1.59659791660539 0.116 0.022 3.18037800202103e-21 ""2"" ""LOC5573675"""
"55 4.87490292321653e-18 1.21474507770655 0.278 0.125 6.36808568859776e-14 ""2"" ""LOC5572844"""
"56 2.11907281334735e-12 3.38299923455453 0.13 0.047 2.76814481607564e-08 ""2"" ""Or132"""
"57 3.48001091123925e-07 1.15033487208059 0.232 0.143 0.00454593825335183 ""2"" ""LOC5566210"""
"58 0 2.17829382939262 0.73 0.04 0 ""3"" ""Or88"""
"59 5.79643471467009e-239 2.05647542311506 0.759 0.103 7.57188266777354e-235 ""3"" ""Or87"""
"60 3.20465433857265e-219 1.9775879391229 0.617 0.066 4.18623996247746e-215 ""3"" ""Or36"""
"61 1.1274112890728e-142 1.8801065797379 0.907 0.286 1.4727373669158e-138 ""3"" ""LOC5568887"""
"62 2.09550987867451e-105 1.27220584162938 1 0.959 2.73736455451251e-101 ""3"" ""LOC5569019"""
"63 2.47065055349435e-77 1.29375077716503 0.965 0.716 3.22741081802967e-73 ""3"" ""LOC5566425"""
"64 2.46235521635857e-75 1.04212139383974 0.99 0.78 3.2165746191292e-71 ""3"" ""LOC5575931"""
"65 2.87343766444513e-75 1.10909864868771 0.987 0.712 3.75357162106467e-71 ""3"" ""LOC5579195"""
